STRUCTURE,STRUCTURE_ID,ACTION,FREQ,GBAUPS,GKATS,GWAERZH,GWAERZW,KANTONSNUMMER,TIME_PERIOD,OBS_VALUE,DIFF_REGION_STATE,DIFF_LAST_UPDATE,DIFF_EMBARGO_DATE,DIFF_DB_STATE,OBS_STATUS,DIFF_REGION_REF
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,1,_T,8100,2023,19692,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,1,_T,8100,2024,21701,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,_T,_T,8100,2021,197814,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,_T,_T,8100,2022,198707,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,_T,_T,8100,2023,199504,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,_T,_T,8100,2024,199826,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,3,_T,8100,2021,37309,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,3,_T,8100,2022,35970,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,3,_T,8100,2023,33767,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,3,_T,8100,2024,31839,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,4,_T,8100,2021,54929,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,4,_T,8100,2022,54716,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,4,_T,8100,2023,55509,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,4,_T,8100,2024,55352,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,6,_T,8100,2021,63858,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,6,_T,8100,2022,67484,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,6,_T,8100,2023,68775,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,_T,6,_T,8100,2024,78577,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,1,_T,8100,2021,72314,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,1,_T,8100,2022,79563,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,1,_T,8100,2023,92426,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,1,_T,8100,2024,102536,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,6,_T,8100,2021,22879,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,6,_T,8100,2022,23897,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,6,_T,8100,2023,24262,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,6,_T,8100,2024,26922,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,9,_T,8100,2021,391,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,9,_T,8100,2022,412,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,9,_T,8100,2023,437,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1030,9,_T,8100,2024,526,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,4,_T,8100,2021,12605,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,4,_T,8100,2022,13313,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,4,_T,8100,2023,13325,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,4,_T,8100,2024,13528,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,6,_T,8100,2021,26463,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,6,_T,8100,2022,28372,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,6,_T,8100,2023,28927,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,6,_T,8100,2024,33709,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,9,_T,8100,2021,511,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,9,_T,8100,2022,583,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,9,_T,8100,2023,675,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,9,_T,8100,2024,334,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,8,_T,8100,2021,509,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,8,_T,8100,2022,503,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,8,_T,8100,2023,323,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1040,8,_T,8100,2024,347,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,7,_T,8100,2021,3905,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,7,_T,8100,2022,3836,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,7,_T,8100,2023,3906,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,7,_T,8100,2024,3335,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,4,_T,8100,2021,34345,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,4,_T,8100,2022,34747,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,4,_T,8100,2023,36008,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1025,4,_T,8100,2024,37531,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,9,_T,8100,2021,3182,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,9,_T,8100,2022,3600,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
DATAFLOW,CH1.GWS:DF_GWS_REG4(1.0.0),I,A,_T,1021,9,_T,8100,2023,5136,2024-12-31,2025-09-22T08:30,2025-09-22T08:30,2025-09-22,A,KANT
