"Jahr","Monat","Jahr_Monat","Standort","Heizgradtag","akkumulierteTemperaturdifferenz"
1961,1,"1961-01","Fluntern",626,378
1961,2,"1961-02","Fluntern",413,189
1961,3,"1961-03","Fluntern",406,158
1961,4,"1961-04","Fluntern",205,45
1961,5,"1961-05","Fluntern",204,60
1961,6,"1961-06","Fluntern",46,6
1961,7,"1961-07","Fluntern",8,0
1961,8,"1961-08","Fluntern",17,1
1961,9,"1961-09","Fluntern",0,0
1961,10,"1961-10","Fluntern",217,73
1961,11,"1961-11","Fluntern",487,247
1961,12,"1961-12","Fluntern",588,340
1962,1,"1962-01","Fluntern",578,330
1962,2,"1962-02","Fluntern",558,334
1962,3,"1962-03","Fluntern",583,335
1962,4,"1962-04","Fluntern",292,132
1962,5,"1962-05","Fluntern",244,68
1962,6,"1962-06","Fluntern",91,27
1962,7,"1962-07","Fluntern",30,6
1962,8,"1962-08","Fluntern",0,0
1962,9,"1962-09","Fluntern",135,31
1962,10,"1962-10","Fluntern",296,96
1962,11,"1962-11","Fluntern",535,303
1962,12,"1962-12","Fluntern",726,478
1963,1,"1963-01","Fluntern",813,565
1963,2,"1963-02","Fluntern",676,452
1963,3,"1963-03","Fluntern",519,271
1963,4,"1963-04","Fluntern",275,91
1963,5,"1963-05","Fluntern",195,51
1963,6,"1963-06","Fluntern",26,2
1963,7,"1963-07","Fluntern",0,0
1963,8,"1963-08","Fluntern",47,7
1963,9,"1963-09","Fluntern",66,10
1963,10,"1963-10","Fluntern",321,97
1963,11,"1963-11","Fluntern",379,139
1963,12,"1963-12","Fluntern",713,465
1964,1,"1964-01","Fluntern",723,475
1964,2,"1964-02","Fluntern",522,290
1964,3,"1964-03","Fluntern",546,298
1964,4,"1964-04","Fluntern",253,93
1964,5,"1964-05","Fluntern",64,8
1964,6,"1964-06","Fluntern",0,0
1964,7,"1964-07","Fluntern",10,2
1964,8,"1964-08","Fluntern",17,1
1964,9,"1964-09","Fluntern",51,11
1964,10,"1964-10","Fluntern",353,153
1964,11,"1964-11","Fluntern",453,213
1964,12,"1964-12","Fluntern",636,388
1965,1,"1965-01","Fluntern",595,347
1965,2,"1965-02","Fluntern",648,424
1965,3,"1965-03","Fluntern",501,253
1965,4,"1965-04","Fluntern",387,163
1965,5,"1965-05","Fluntern",182,46
1965,6,"1965-06","Fluntern",66,10
1965,7,"1965-07","Fluntern",44,4
1965,8,"1965-08","Fluntern",17,1
1965,9,"1965-09","Fluntern",164,28
1965,10,"1965-10","Fluntern",346,114
1965,11,"1965-11","Fluntern",498,266
1965,12,"1965-12","Fluntern",534,286
1966,1,"1966-01","Fluntern",693,445
1966,2,"1966-02","Fluntern",398,174
1966,3,"1966-03","Fluntern",507,259
1966,4,"1966-04","Fluntern",275,67
1966,5,"1966-05","Fluntern",151,39
1966,6,"1966-06","Fluntern",37,5
1966,7,"1966-07","Fluntern",19,3
1966,8,"1966-08","Fluntern",47,7
1966,9,"1966-09","Fluntern",54,6
1966,10,"1966-10","Fluntern",163,59
1966,11,"1966-11","Fluntern",541,301
1966,12,"1966-12","Fluntern",573,325
1967,1,"1967-01","Fluntern",617,369
1967,2,"1967-02","Fluntern",493,269
1967,3,"1967-03","Fluntern",448,200
1967,4,"1967-04","Fluntern",352,144
1967,5,"1967-05","Fluntern",157,45
1967,6,"1967-06","Fluntern",105,25
1967,7,"1967-07","Fluntern",0,0
1967,8,"1967-08","Fluntern",17,1
1967,9,"1967-09","Fluntern",136,24
1967,10,"1967-10","Fluntern",127,39
1967,11,"1967-11","Fluntern",477,237
1967,12,"1967-12","Fluntern",654,406
1968,1,"1968-01","Fluntern",652,404
1968,2,"1968-02","Fluntern",533,301
1968,3,"1968-03","Fluntern",446,222
1968,4,"1968-04","Fluntern",281,113
1968,5,"1968-05","Fluntern",166,46
1968,6,"1968-06","Fluntern",33,1
1968,7,"1968-07","Fluntern",26,2
1968,8,"1968-08","Fluntern",17,1
1968,9,"1968-09","Fluntern",68,12
1968,10,"1968-10","Fluntern",209,49
1968,11,"1968-11","Fluntern",478,254
1968,12,"1968-12","Fluntern",659,411
1969,1,"1969-01","Fluntern",611,363
1969,2,"1969-02","Fluntern",587,363
1969,3,"1969-03","Fluntern",505,257
1969,4,"1969-04","Fluntern",327,143
1969,5,"1969-05","Fluntern",140,28
1969,6,"1969-06","Fluntern",110,30
1969,7,"1969-07","Fluntern",40,8
1969,8,"1969-08","Fluntern",68,12
1969,9,"1969-09","Fluntern",27,3
1969,10,"1969-10","Fluntern",298,66
1969,11,"1969-11","Fluntern",454,214
1969,12,"1969-12","Fluntern",741,493
1970,1,"1970-01","Fluntern",639,391
1970,2,"1970-02","Fluntern",543,319
1970,3,"1970-03","Fluntern",567,319
1970,4,"1970-04","Fluntern",407,199
1970,5,"1970-05","Fluntern",173,45
1970,6,"1970-06","Fluntern",28,4
1970,7,"1970-07","Fluntern",47,7
1970,8,"1970-08","Fluntern",17,1
1970,9,"1970-09","Fluntern",45,5
1970,10,"1970-10","Fluntern",294,110
1970,11,"1970-11","Fluntern",407,191
1970,12,"1970-12","Fluntern",647,399
1971,1,"1971-01","Fluntern",674,426
1971,2,"1971-02","Fluntern",562,338
1971,3,"1971-03","Fluntern",599,351
1971,4,"1971-04","Fluntern",226,58
1971,5,"1971-05","Fluntern",113,25
1971,6,"1971-06","Fluntern",76,12
1971,7,"1971-07","Fluntern",0,0
1971,8,"1971-08","Fluntern",0,0
1971,9,"1971-09","Fluntern",92,20
1971,10,"1971-10","Fluntern",234,74
1971,11,"1971-11","Fluntern",510,270
1971,12,"1971-12","Fluntern",581,333
1972,1,"1972-01","Fluntern",626,378
1972,2,"1972-02","Fluntern",488,256
1972,3,"1972-03","Fluntern",414,166
1972,4,"1972-04","Fluntern",350,142
1972,5,"1972-05","Fluntern",174,46
1972,6,"1972-06","Fluntern",86,14
1972,7,"1972-07","Fluntern",34,2
1972,8,"1972-08","Fluntern",29,5
1972,9,"1972-09","Fluntern",240,64
1972,10,"1972-10","Fluntern",400,152
1972,11,"1972-11","Fluntern",460,228
1972,12,"1972-12","Fluntern",638,390
1973,1,"1973-01","Fluntern",654,406
1973,2,"1973-02","Fluntern",565,341
1973,3,"1973-03","Fluntern",523,275
1973,4,"1973-04","Fluntern",436,204
1973,5,"1973-05","Fluntern",93,21
1973,6,"1973-06","Fluntern",37,5
1973,7,"1973-07","Fluntern",17,1
1973,8,"1973-08","Fluntern",0,0
1973,9,"1973-09","Fluntern",91,19
1973,10,"1973-10","Fluntern",357,141
1973,11,"1973-11","Fluntern",494,254
1973,12,"1973-12","Fluntern",609,361
1974,1,"1974-01","Fluntern",530,282
1974,2,"1974-02","Fluntern",480,256
1974,3,"1974-03","Fluntern",352,160
1974,4,"1974-04","Fluntern",300,108
1974,5,"1974-05","Fluntern",187,59
1974,6,"1974-06","Fluntern",63,15
1974,7,"1974-07","Fluntern",10,2
1974,8,"1974-08","Fluntern",18,2
1974,9,"1974-09","Fluntern",118,30
1974,10,"1974-10","Fluntern",473,225
1974,11,"1974-11","Fluntern",470,230
1974,12,"1974-12","Fluntern",494,246
1975,1,"1975-01","Fluntern",509,261
1975,2,"1975-02","Fluntern",508,284
1975,3,"1975-03","Fluntern",510,262
1975,4,"1975-04","Fluntern",326,134
1975,5,"1975-05","Fluntern",153,33
1975,6,"1975-06","Fluntern",98,26
1975,7,"1975-07","Fluntern",18,2
1975,8,"1975-08","Fluntern",35,3
1975,9,"1975-09","Fluntern",8,0
1975,10,"1975-10","Fluntern",364,140
1975,11,"1975-11","Fluntern",468,228
1975,12,"1975-12","Fluntern",640,392
1976,1,"1976-01","Fluntern",578,330
1976,2,"1976-02","Fluntern",549,317
1976,3,"1976-03","Fluntern",504,256
1976,4,"1976-04","Fluntern",298,130
1976,5,"1976-05","Fluntern",127,23
1976,6,"1976-06","Fluntern",40,8
1976,7,"1976-07","Fluntern",26,2
1976,8,"1976-08","Fluntern",0,0
1976,9,"1976-09","Fluntern",142,22
1976,10,"1976-10","Fluntern",236,68
1976,11,"1976-11","Fluntern",466,226
1976,12,"1976-12","Fluntern",668,420
1977,1,"1977-01","Fluntern",598,350
1977,2,"1977-02","Fluntern",425,201
1977,3,"1977-03","Fluntern",363,139
1977,4,"1977-04","Fluntern",391,175
1977,5,"1977-05","Fluntern",157,45
1977,6,"1977-06","Fluntern",17,1
1977,7,"1977-07","Fluntern",0,0
1977,8,"1977-08","Fluntern",0,0
1977,9,"1977-09","Fluntern",133,37
1977,10,"1977-10","Fluntern",238,62
1977,11,"1977-11","Fluntern",417,209
1977,12,"1977-12","Fluntern",572,324
1978,1,"1978-01","Fluntern",618,370
1978,2,"1978-02","Fluntern",571,347
1978,3,"1978-03","Fluntern",459,219
1978,4,"1978-04","Fluntern",366,142
1978,5,"1978-05","Fluntern",214,62
1978,6,"1978-06","Fluntern",91,19
1978,7,"1978-07","Fluntern",35,3
1978,8,"1978-08","Fluntern",31,7
1978,9,"1978-09","Fluntern",106,18
1978,10,"1978-10","Fluntern",356,116
1978,11,"1978-11","Fluntern",502,262
1978,12,"1978-12","Fluntern",564,316
1979,1,"1979-01","Fluntern",709,461
1979,2,"1979-02","Fluntern",505,281
1979,3,"1979-03","Fluntern",462,214
1979,4,"1979-04","Fluntern",409,177
1979,5,"1979-05","Fluntern",151,63
1979,6,"1979-06","Fluntern",50,10
1979,7,"1979-07","Fluntern",29,5
1979,8,"1979-08","Fluntern",53,5
1979,9,"1979-09","Fluntern",120,32
1979,10,"1979-10","Fluntern",248,80
1979,11,"1979-11","Fluntern",490,250
1979,12,"1979-12","Fluntern",503,255
1980,1,"1980-01","Fluntern",659,411
1980,2,"1980-02","Fluntern",484,252
1980,3,"1980-03","Fluntern",472,224
1980,4,"1980-04","Fluntern",409,185
1980,5,"1980-05","Fluntern",228,52
1980,6,"1980-06","Fluntern",77,13
1980,7,"1980-07","Fluntern",61,5
1980,8,"1980-08","Fluntern",0,0
1980,9,"1980-09","Fluntern",17,1
1980,10,"1980-10","Fluntern",309,125
1980,11,"1980-11","Fluntern",514,274
1980,12,"1980-12","Fluntern",635,387
1981,1,"1981-01","Fluntern",682,434
1981,2,"1981-02","Fluntern",587,363
1981,3,"1981-03","Fluntern",362,146
1981,4,"1981-04","Fluntern",247,95
1981,5,"1981-05","Fluntern",188,52
1981,6,"1981-06","Fluntern",69,13
1981,7,"1981-07","Fluntern",55,7
1981,8,"1981-08","Fluntern",0,0
1981,9,"1981-09","Fluntern",59,11
1981,10,"1981-10","Fluntern",291,99
1981,11,"1981-11","Fluntern",452,220
1981,12,"1981-12","Fluntern",601,353
1982,1,"1982-01","Fluntern",610,362
1982,2,"1982-02","Fluntern",540,316
1982,3,"1982-03","Fluntern",494,246
1982,4,"1982-04","Fluntern",373,141
1982,5,"1982-05","Fluntern",124,44
1982,6,"1982-06","Fluntern",20,4
1982,7,"1982-07","Fluntern",0,0
1982,8,"1982-08","Fluntern",8,0
1982,9,"1982-09","Fluntern",17,1
1982,10,"1982-10","Fluntern",311,87
1982,11,"1982-11","Fluntern",419,187
1982,12,"1982-12","Fluntern",533,285
1983,1,"1983-01","Fluntern",529,281
1983,2,"1983-02","Fluntern",602,378
1983,3,"1983-03","Fluntern",447,199
1983,4,"1983-04","Fluntern",265,97
1983,5,"1983-05","Fluntern",216,64
1983,6,"1983-06","Fluntern",18,2
1983,7,"1983-07","Fluntern",0,0
1983,8,"1983-08","Fluntern",8,0
1983,9,"1983-09","Fluntern",55,7
1983,10,"1983-10","Fluntern",266,90
1983,11,"1983-11","Fluntern",508,268
1983,12,"1983-12","Fluntern",588,340
1984,1,"1984-01","Fluntern",592,344
1984,2,"1984-02","Fluntern",595,363
1984,3,"1984-03","Fluntern",543,295
1984,4,"1984-04","Fluntern",341,157
1984,5,"1984-05","Fluntern",255,71
1984,6,"1984-06","Fluntern",47,7
1984,7,"1984-07","Fluntern",0,0
1984,8,"1984-08","Fluntern",0,0
1984,9,"1984-09","Fluntern",131,27
1984,10,"1984-10","Fluntern",230,62
1984,11,"1984-11","Fluntern",407,183
1984,12,"1984-12","Fluntern",559,311
1985,1,"1985-01","Fluntern",779,531
1985,2,"1985-02","Fluntern",569,345
1985,3,"1985-03","Fluntern",517,269
1985,4,"1985-04","Fluntern",301,117
1985,5,"1985-05","Fluntern",125,37
1985,6,"1985-06","Fluntern",65,9
1985,7,"1985-07","Fluntern",0,0
1985,8,"1985-08","Fluntern",36,4
1985,9,"1985-09","Fluntern",35,3
1985,10,"1985-10","Fluntern",289,113
1985,11,"1985-11","Fluntern",557,325
1985,12,"1985-12","Fluntern",509,261
1986,1,"1986-01","Fluntern",592,344
1986,2,"1986-02","Fluntern",706,482
1986,3,"1986-03","Fluntern",513,265
1986,4,"1986-04","Fluntern",411,179
1986,5,"1986-05","Fluntern",75,19
1986,6,"1986-06","Fluntern",92,28
1986,7,"1986-07","Fluntern",0,0
1986,8,"1986-08","Fluntern",46,6
1986,9,"1986-09","Fluntern",98,10
1986,10,"1986-10","Fluntern",201,65
1986,11,"1986-11","Fluntern",440,200
1986,12,"1986-12","Fluntern",571,323
1987,1,"1987-01","Fluntern",752,504
1987,2,"1987-02","Fluntern",544,320
1987,3,"1987-03","Fluntern",589,341
1987,4,"1987-04","Fluntern",248,88
1987,5,"1987-05","Fluntern",265,89
1987,6,"1987-06","Fluntern",116,20
1987,7,"1987-07","Fluntern",0,0
1987,8,"1987-08","Fluntern",17,1
1987,9,"1987-09","Fluntern",47,15
1987,10,"1987-10","Fluntern",270,70
1987,11,"1987-11","Fluntern",450,210
1987,12,"1987-12","Fluntern",549,301
1988,1,"1988-01","Fluntern",514,266
1988,2,"1988-02","Fluntern",532,300
1988,3,"1988-03","Fluntern",516,268
1988,4,"1988-04","Fluntern",298,90
1988,5,"1988-05","Fluntern",72,8
1988,6,"1988-06","Fluntern",43,11
1988,7,"1988-07","Fluntern",0,0
1988,8,"1988-08","Fluntern",9,1
1988,9,"1988-09","Fluntern",74,18
1988,10,"1988-10","Fluntern",229,53
1988,11,"1988-11","Fluntern",513,273
1988,12,"1988-12","Fluntern",536,288
1989,1,"1989-01","Fluntern",590,342
1989,2,"1989-02","Fluntern",476,252
1989,3,"1989-03","Fluntern",338,130
1989,4,"1989-04","Fluntern",372,140
1989,5,"1989-05","Fluntern",88,16
1989,6,"1989-06","Fluntern",67,11
1989,7,"1989-07","Fluntern",0,0
1989,8,"1989-08","Fluntern",34,2
1989,9,"1989-09","Fluntern",61,13
1989,10,"1989-10","Fluntern",235,59
1989,11,"1989-11","Fluntern",507,283
1989,12,"1989-12","Fluntern",537,297
1990,1,"1990-01","Fluntern",594,346
1990,2,"1990-02","Fluntern",374,150
1990,3,"1990-03","Fluntern",368,144
1990,4,"1990-04","Fluntern",370,146
1990,5,"1990-05","Fluntern",42,2
1990,6,"1990-06","Fluntern",54,6
1990,7,"1990-07","Fluntern",0,0
1990,8,"1990-08","Fluntern",0,0
1990,9,"1990-09","Fluntern",70,6
1990,10,"1990-10","Fluntern",212,60
1990,11,"1990-11","Fluntern",469,229
1990,12,"1990-12","Fluntern",616,368
1991,1,"1991-01","Fluntern",595,347
1991,2,"1991-02","Fluntern",591,367
1991,3,"1991-03","Fluntern",379,155
1991,4,"1991-04","Fluntern",365,133
1991,5,"1991-05","Fluntern",281,97
1991,6,"1991-06","Fluntern",90,10
1991,7,"1991-07","Fluntern",0,0
1991,8,"1991-08","Fluntern",0,0
1991,9,"1991-09","Fluntern",36,4
1991,10,"1991-10","Fluntern",299,115
1991,11,"1991-11","Fluntern",483,243
1991,12,"1991-12","Fluntern",635,387
1992,1,"1992-01","Fluntern",644,396
1992,2,"1992-02","Fluntern",531,299
1992,3,"1992-03","Fluntern",432,184
1992,4,"1992-04","Fluntern",331,131
1992,5,"1992-05","Fluntern",63,15
1992,6,"1992-06","Fluntern",18,2
1992,7,"1992-07","Fluntern",0,0
1992,8,"1992-08","Fluntern",0,0
1992,9,"1992-09","Fluntern",48,8
1992,10,"1992-10","Fluntern",361,137
1992,11,"1992-11","Fluntern",410,170
1992,12,"1992-12","Fluntern",601,353
1993,1,"1993-01","Fluntern",512,264
1993,2,"1993-02","Fluntern",571,347
1993,3,"1993-03","Fluntern",478,238
1993,4,"1993-04","Fluntern",230,86
1993,5,"1993-05","Fluntern",57,9
1993,6,"1993-06","Fluntern",8,0
1993,7,"1993-07","Fluntern",30,6
1993,8,"1993-08","Fluntern",45,5
1993,9,"1993-09","Fluntern",98,18
1993,10,"1993-10","Fluntern",354,130
1993,11,"1993-11","Fluntern",569,329
1993,12,"1993-12","Fluntern",491,251
1994,1,"1994-01","Fluntern",542,294
1994,2,"1994-02","Fluntern",501,277
1994,3,"1994-03","Fluntern",309,101
1994,4,"1994-04","Fluntern",358,158
1994,5,"1994-05","Fluntern",110,14
1994,6,"1994-06","Fluntern",69,13
1994,7,"1994-07","Fluntern",0,0
1994,8,"1994-08","Fluntern",0,0
1994,9,"1994-09","Fluntern",76,20
1994,10,"1994-10","Fluntern",312,96
1994,11,"1994-11","Fluntern",367,127
1994,12,"1994-12","Fluntern",509,261
1995,1,"1995-01","Fluntern",621,373
1995,2,"1995-02","Fluntern",416,192
1995,3,"1995-03","Fluntern",507,259
1995,4,"1995-04","Fluntern",293,101
1995,5,"1995-05","Fluntern",141,37
1995,6,"1995-06","Fluntern",113,17
1995,7,"1995-07","Fluntern",0,0
1995,8,"1995-08","Fluntern",41,9
1995,9,"1995-09","Fluntern",145,25
1995,10,"1995-10","Fluntern",86,22
1995,11,"1995-11","Fluntern",492,252
1995,12,"1995-12","Fluntern",625,377
1996,1,"1996-01","Fluntern",638,390
1996,2,"1996-02","Fluntern",604,372
1996,3,"1996-03","Fluntern",521,281
1996,4,"1996-04","Fluntern",280,104
1996,5,"1996-05","Fluntern",167,39
1996,6,"1996-06","Fluntern",30,6
1996,7,"1996-07","Fluntern",9,1
1996,8,"1996-08","Fluntern",0,0
1996,9,"1996-09","Fluntern",235,43
1996,10,"1996-10","Fluntern",315,83
1996,11,"1996-11","Fluntern",456,216
1996,12,"1996-12","Fluntern",641,393
1997,1,"1997-01","Fluntern",676,428
1997,2,"1997-02","Fluntern",437,213
1997,3,"1997-03","Fluntern",382,134
1997,4,"1997-04","Fluntern",354,130
1997,5,"1997-05","Fluntern",88,24
1997,6,"1997-06","Fluntern",36,4
1997,7,"1997-07","Fluntern",8,0
1997,8,"1997-08","Fluntern",0,0
1997,9,"1997-09","Fluntern",35,3
1997,10,"1997-10","Fluntern",306,130
1997,11,"1997-11","Fluntern",453,221
1997,12,"1997-12","Fluntern",544,296
1998,1,"1998-01","Fluntern",561,313
1998,2,"1998-02","Fluntern",457,233
1998,3,"1998-03","Fluntern",426,210
1998,4,"1998-04","Fluntern",288,112
1998,5,"1998-05","Fluntern",66,10
1998,6,"1998-06","Fluntern",46,6
1998,7,"1998-07","Fluntern",0,0
1998,8,"1998-08","Fluntern",17,1
1998,9,"1998-09","Fluntern",106,18
1998,10,"1998-10","Fluntern",287,71
1998,11,"1998-11","Fluntern",540,300
1998,12,"1998-12","Fluntern",583,335
1999,1,"1999-01","Fluntern",555,307
1999,2,"1999-02","Fluntern",572,348
1999,3,"1999-03","Fluntern",430,182
1999,4,"1999-04","Fluntern",283,99
1999,5,"1999-05","Fluntern",51,3
1999,6,"1999-06","Fluntern",36,4
1999,7,"1999-07","Fluntern",0,0
1999,8,"1999-08","Fluntern",0,0
1999,9,"1999-09","Fluntern",0,0
1999,10,"1999-10","Fluntern",302,86
1999,11,"1999-11","Fluntern",530,298
1999,12,"1999-12","Fluntern",558,310
2000,1,"2000-01","Fluntern",618,370
2000,2,"2000-02","Fluntern",458,226
2000,3,"2000-03","Fluntern",421,181
2000,4,"2000-04","Fluntern",253,77
2000,5,"2000-05","Fluntern",78,6
2000,6,"2000-06","Fluntern",9,1
2000,7,"2000-07","Fluntern",37,5
2000,8,"2000-08","Fluntern",0,0
2000,9,"2000-09","Fluntern",17,1
2000,10,"2000-10","Fluntern",283,51
2000,11,"2000-11","Fluntern",419,179
2000,12,"2000-12","Fluntern",500,252
2001,1,"2001-01","Fluntern",568,320
2001,2,"2001-02","Fluntern",458,234
2001,3,"2001-03","Fluntern",399,159
2001,4,"2001-04","Fluntern",363,155
2001,5,"2001-05","Fluntern",48,8
2001,6,"2001-06","Fluntern",55,7
2001,7,"2001-07","Fluntern",0,0
2001,8,"2001-08","Fluntern",0,0
2001,9,"2001-09","Fluntern",164,28
2001,10,"2001-10","Fluntern",47,7
2001,11,"2001-11","Fluntern",512,272
2001,12,"2001-12","Fluntern",624,376
2002,1,"2002-01","Fluntern",595,347
2002,2,"2002-02","Fluntern",402,178
2002,3,"2002-03","Fluntern",375,151
2002,4,"2002-04","Fluntern",293,93
2002,5,"2002-05","Fluntern",127,31
2002,6,"2002-06","Fluntern",0,0
2002,7,"2002-07","Fluntern",0,0
2002,8,"2002-08","Fluntern",0,0
2002,9,"2002-09","Fluntern",114,34
2002,10,"2002-10","Fluntern",251,67
2002,11,"2002-11","Fluntern",398,158
2002,12,"2002-12","Fluntern",500,252
2003,1,"2003-01","Fluntern",613,365
2003,2,"2003-02","Fluntern",610,386
2003,3,"2003-03","Fluntern",350,142
2003,4,"2003-04","Fluntern",238,102
2003,5,"2003-05","Fluntern",80,16
2003,6,"2003-06","Fluntern",0,0
2003,7,"2003-07","Fluntern",0,0
2003,8,"2003-08","Fluntern",0,0
2003,9,"2003-09","Fluntern",46,6
2003,10,"2003-10","Fluntern",414,182
2003,11,"2003-11","Fluntern",438,198
2003,12,"2003-12","Fluntern",583,335
2004,1,"2004-01","Fluntern",593,345
2004,2,"2004-02","Fluntern",520,288
2004,3,"2004-03","Fluntern",454,238
2004,4,"2004-04","Fluntern",258,90
2004,5,"2004-05","Fluntern",149,45
2004,6,"2004-06","Fluntern",17,1
2004,7,"2004-07","Fluntern",16,0
2004,8,"2004-08","Fluntern",0,0
2004,9,"2004-09","Fluntern",60,12
2004,10,"2004-10","Fluntern",187,51
2004,11,"2004-11","Fluntern",470,230
2004,12,"2004-12","Fluntern",600,352
2005,1,"2005-01","Fluntern",605,357
2005,2,"2005-02","Fluntern",590,366
2005,3,"2005-03","Fluntern",420,204
2005,4,"2005-04","Fluntern",302,94
2005,5,"2005-05","Fluntern",144,32
2005,6,"2005-06","Fluntern",28,4
2005,7,"2005-07","Fluntern",0,0
2005,8,"2005-08","Fluntern",8,0
2005,9,"2005-09","Fluntern",77,13
2005,10,"2005-10","Fluntern",202,42
2005,11,"2005-11","Fluntern",476,244
2005,12,"2005-12","Fluntern",632,384
2006,1,"2006-01","Fluntern",688,440
2006,2,"2006-02","Fluntern",560,336
2006,3,"2006-03","Fluntern",504,280
2006,4,"2006-04","Fluntern",307,107
2006,5,"2006-05","Fluntern",88,24
2006,6,"2006-06","Fluntern",60,12
2006,7,"2006-07","Fluntern",0,0
2006,8,"2006-08","Fluntern",37,5
2006,9,"2006-09","Fluntern",0,0
2006,10,"2006-10","Fluntern",118,14
2006,11,"2006-11","Fluntern",389,149
2006,12,"2006-12","Fluntern",541,293
2007,1,"2007-01","Fluntern",474,234
2007,2,"2007-02","Fluntern",425,201
2007,3,"2007-03","Fluntern",442,194
2007,4,"2007-04","Fluntern",99,27
2007,5,"2007-05","Fluntern",92,20
2007,6,"2007-06","Fluntern",28,4
2007,7,"2007-07","Fluntern",18,2
2007,8,"2007-08","Fluntern",9,1
2007,9,"2007-09","Fluntern",111,23
2007,10,"2007-10","Fluntern",292,108
2007,11,"2007-11","Fluntern",514,274
2007,12,"2007-12","Fluntern",600,352
2008,1,"2008-01","Fluntern",525,277
2008,2,"2008-02","Fluntern",468,236
2008,3,"2008-03","Fluntern",475,227
2008,4,"2008-04","Fluntern",341,125
2008,5,"2008-05","Fluntern",46,6
2008,6,"2008-06","Fluntern",43,3
2008,7,"2008-07","Fluntern",0,0
2008,8,"2008-08","Fluntern",0,0
2008,9,"2008-09","Fluntern",185,49
2008,10,"2008-10","Fluntern",223,87
2008,11,"2008-11","Fluntern",472,232
2008,12,"2008-12","Fluntern",603,355
2009,1,"2009-01","Fluntern",679,431
2009,2,"2009-02","Fluntern",550,326
2009,3,"2009-03","Fluntern",489,241
2009,4,"2009-04","Fluntern",155,35
2009,5,"2009-05","Fluntern",40,8
2009,6,"2009-06","Fluntern",18,2
2009,7,"2009-07","Fluntern",0,0
2009,8,"2009-08","Fluntern",0,0
2009,9,"2009-09","Fluntern",17,1
2009,10,"2009-10","Fluntern",269,101
2009,11,"2009-11","Fluntern",383,143
2009,12,"2009-12","Fluntern",586,338
2010,1,"2010-01","Fluntern",679,431
2010,2,"2010-02","Fluntern",536,312
2010,3,"2010-03","Fluntern",472,232
2010,4,"2010-04","Fluntern",250,82
2010,5,"2010-05","Fluntern",232,56
2010,6,"2010-06","Fluntern",46,6
2010,7,"2010-07","Fluntern",0,0
2010,8,"2010-08","Fluntern",18,2
2010,9,"2010-09","Fluntern",80,16
2010,10,"2010-10","Fluntern",300,116
2010,11,"2010-11","Fluntern",405,205
2010,12,"2010-12","Fluntern",645,397
2011,1,"2011-01","Fluntern",582,334
2011,2,"2011-02","Fluntern",483,259
2011,3,"2011-03","Fluntern",409,169
2011,4,"2011-04","Fluntern",120,32
2011,5,"2011-05","Fluntern",61,13
2011,6,"2011-06","Fluntern",19,3
2011,7,"2011-07","Fluntern",8,0
2011,8,"2011-08","Fluntern",0,0
2011,9,"2011-09","Fluntern",28,4
2011,10,"2011-10","Fluntern",286,102
2011,11,"2011-11","Fluntern",448,208
2011,12,"2011-12","Fluntern",507,259
2012,1,"2012-01","Fluntern",557,309
2012,2,"2012-02","Fluntern",683,451
2012,3,"2012-03","Fluntern",350,118
2012,4,"2012-04","Fluntern",311,119
2012,5,"2012-05","Fluntern",91,19
2012,6,"2012-06","Fluntern",25,1
2012,7,"2012-07","Fluntern",0,0
2012,8,"2012-08","Fluntern",9,1
2012,9,"2012-09","Fluntern",82,10
2012,10,"2012-10","Fluntern",228,92
2012,11,"2012-11","Fluntern",427,187
2012,12,"2012-12","Fluntern",558,310
2013,1,"2013-01","Fluntern",601,353
2013,2,"2013-02","Fluntern",596,372
2013,3,"2013-03","Fluntern",541,293
2013,4,"2013-04","Fluntern",304,128
2013,5,"2013-05","Fluntern",217,57
2013,6,"2013-06","Fluntern",45,5
2013,7,"2013-07","Fluntern",0,0
2013,8,"2013-08","Fluntern",0,0
2013,9,"2013-09","Fluntern",55,7
2013,10,"2013-10","Fluntern",193,41
2013,11,"2013-11","Fluntern",467,243
2013,12,"2013-12","Fluntern",567,319
2014,1,"2014-01","Fluntern",522,274
2014,2,"2014-02","Fluntern",446,222
2014,3,"2014-03","Fluntern",363,147
2014,4,"2014-04","Fluntern",184,56
2014,5,"2014-05","Fluntern",156,36
2014,6,"2014-06","Fluntern",0,0
2014,7,"2014-07","Fluntern",17,1
2014,8,"2014-08","Fluntern",0,0
2014,9,"2014-09","Fluntern",52,4
2014,10,"2014-10","Fluntern",116,36
2014,11,"2014-11","Fluntern",403,163
2014,12,"2014-12","Fluntern",525,277
2015,1,"2015-01","Fluntern",555,315
2015,2,"2015-02","Fluntern",574,350
2015,3,"2015-03","Fluntern",422,174
2015,4,"2015-04","Fluntern",218,82
2015,5,"2015-05","Fluntern",92,20
2015,6,"2015-06","Fluntern",0,0
2015,7,"2015-07","Fluntern",0,0
2015,8,"2015-08","Fluntern",0,0
2015,9,"2015-09","Fluntern",84,12
2015,10,"2015-10","Fluntern",304,96
2015,11,"2015-11","Fluntern",328,136
2015,12,"2015-12","Fluntern",483,235
2016,1,"2016-01","Fluntern",534,286
2016,2,"2016-02","Fluntern",466,234
2016,3,"2016-03","Fluntern",471,231
2016,4,"2016-04","Fluntern",301,101
